City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hermanus,-34.4187,19.2345,291.74,68,0,5.38,ZA,1699549872
83,general conesa,-40.1,-64.4333,301.43,11,0,5.28,AR,1699550425
84,alice springs,-23.7,133.8833,291.9,48,76,4.12,AU,1699550276
85,finley,46.154,-119.0339,279.53,88,0,1.54,US,1699550427
86,chui,-33.6971,-53.4616,292.65,51,1,4.49,UY,1699550428
87,udachny,66.4167,112.4,260.07,84,100,1.88,RU,1699550080
88,las heras,-46.5419,-68.9359,290.02,25,0,4.86,AR,1699550430
89,igarka,67.4667,86.5833,265.29,90,100,10.45,RU,1699550432
90,kruisfontein,-34.0033,24.7314,288.44,67,0,2.5,ZA,1699549876
91,abadeh,31.1608,52.6506,286.73,35,0,1.32,IR,1699550434
92,bay roberts,47.5999,-53.2648,280.56,95,100,2.24,CA,1699550171
93,papatowai,-46.5619,169.4708,276.51,82,27,1.33,NZ,1699550152
94,puerto san jose,13.9256,-90.8244,302.69,71,83,0.71,GT,1699550436
95,northam,51.0333,-4.2167,282.73,88,100,12.92,GB,1699550437
96,ciudad pemex,17.9,-92.5,304.27,72,38,4.13,MX,1699550438
97,kristiansund,63.1115,7.732,279.51,65,0,4.12,NO,1699550440
98,sitka,57.0531,-135.33,281.09,76,100,7.2,US,1699549954
99,morehead city,34.7229,-76.726,299.16,77,0,5.66,US,1699550442
100,weno,7.4515,151.8468,301.05,82,99,9.48,FM,1699550443
101,ciudad lazaro cardenas,17.9583,-102.2,302.63,69,71,0.71,MX,1699550406
102,springbok,-29.6643,17.8865,301.02,19,0,1.3,ZA,1699550444
103,mosjoen,65.836,13.1908,278.38,93,0,1.03,NO,1699550391
104,yarmouth,41.7057,-70.2286,282.6,88,100,2.57,US,1699550446
105,hawaiian paradise park,19.5933,-154.9731,295.95,88,40,2.57,US,1699550267
106,port saint john's,-31.6229,29.5448,292.16,79,61,0.4,ZA,1699550448
107,labytnangi,66.6572,66.4183,270.51,97,100,2.74,RU,1699550449
108,guane,22.2025,-84.0875,302.28,59,20,4.56,CU,1699550450
109,nizhniy kuranakh,58.8353,125.4869,254.95,98,100,1.7,RU,1699550451
